"Term","pathway","ES","NES","pval","padj","size","LeadingEdgeGenes"
"Organophosphate Biosynthetic Process","GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS",-0.480037996765274,-2.26421603341546,6.18454787530071e-25,2.16644712071784e-21,484,"AK4;AK7;PGK1;IDH1;PNPLA3;FDPS;ELOVL6;QPRT;FADS1;AGPAT5;NR1H4;MOCOS;ACAT2;AK2;FABP3;MVK;PDK1;HEXB;GK5;GNPDA1;TPI1;ENO1;ACLY;HSD17B12;MVD;NME1;MPI;GMDS;MTM1;PAICS;APOA1;SLC19A3;DLAT;NDUFB9;LPIN1;MAP2K1;TPK1;ABHD5;TECR;PIK3C2A;APRT;GMPPB;HMGCS1;PCYT1A;PIK3C3;LPCAT3;RAB38;PAPSS2;NDUFS3;PCYT2;FASN;DGKG;ACSS2;PPT1;PTEN;IDI1;FABP5;PI4K2B;NANP;SPTLC2;ACSL1;LIPA;ACSL3;TKT;ALDOA;NDUFA9;DGUOK;SRD5A3;GK;GMPS;MOCS2;NDUFB3;PTPMT1;PDK3;IMPDH2;FITM2;PLD2;PGAP2;ACOT7;HMGCR;MTMR7;GFPT1;PCCA;LPGAT1;PNP;CMAS;PDXK;NUDT2;NDUFS8;GPAM;MTHFD1;FAR1;NDUFAB1;NDUFA12;ELOVL5;NDUFS5;ACSL4;PANK1;PIGU;AMPD3;PPIP5K2;OSBP;MTMR4;SGMS2;NUS1;NDUFA8;GPHN;NDUFA6;CPNE1;NME4;UPP1;DPM3;SDHD;ACACA;PIGA;NDUFC2;PMVK;NDUFV2;NDUFB2;IPMK;PIP5K1B;STOML2;IPPK;GGPS1;DLD;UXS1;MCEE;NDUFA1;PGM3;LIPH;DCTD;PRKAG2;SLC25A13;ATIC;PGS1;TBPL1;LHCGR;ABHD4;RRM1;MLYCD;PIK3C2B;SCP2;DTYMK;HPRT1;NDUFB10;SGMS1;SPTLC1;PIGP;NDUFB8;ABHD3;PMM2;DOLPP1;MFSD2A"
"Mitochondrial Gene Expression","GOBP_MITOCHONDRIAL_GENE_EXPRESSION",-0.639565120891827,-2.70059634875783,2.04245015606244e-19,2.38490096556225e-16,150,"TRMT61B;MRPL22;MRPL40;LRPPRC;MRPL13;MRPS22;MRPL17;MRPS35;MRPL14;EARS2;C1QBP;MRPL3;MRPL32;MRPL18;MRPS17;MRPL44;IARS2;MRPL39;MRPL21;TACO1;PRKAA1;MRPS23;MRPS10;MRPL49;RMND1;DAP3;MRPL46;TRIT1;MRPL24;SLIRP;CDK5RAP1;TFB2M;TRUB2;TFAM;MRPS6;FASTKD1;MRPL50;MRPL27;GFM1;MRPL9;MRPS15;SLC25A33;MRPS16;MRPL52;FASTKD5;MRPS28;GFM2;MRPS31;MRPL47;MRPS34;MRPS26;MRPL23;FASTKD3;PUS1;CHCHD1;MRPL15;MRPL20;PTCD3;MRPS14;YARS2;MRPS11;MRPS24;MRPS25;TSFM;GATC;MTG1;MRPL33;MRPS2;MRPL55;MRPS7;HSD17B10;FOXO3;SHMT2;LARS2;AURKAIP1;MRPS27;MRPL48;MRPL35;MRPL30;MRPS33;FASTK;MRPL51;FASTKD2;MRPL42;PNPT1;TUFM;SUPV3L1;MRPL12;MRPL4;MTIF3;MRPS21;MRPL28"
"Purine Containing Compound Metabolic Process","GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS",-0.462067863523508,-2.16340511857394,1.61680834794081e-19,2.38490096556225e-16,428,"AK4;PGK1;LDHA;MLXIPL;CROT;IDH1;ENPP3;ALDOC;ENO2;ELOVL6;QPRT;UCP2;SLC2A6;LDHB;UCHL1;AK2;MVK;PDK1;TPI1;ENO1;GAPDH;ACLY;HSD17B12;ACO1;GOT2;MVD;NME1;CASK;GPI;PAICS;NUDT5;PFKP;PFKFB4;DLAT;NDUFB9;HK2;MAP2K1;PGAM1;TPK1;TECR;APRT;HMGCS1;PGAM4;RORA;PAPSS2;NDUFS3;FASN;PDE8A;ACSS2;PPT1;MFSD8;MDH1;RAN;HSD17B4;NUDT12;SLC4A4;ACSL1;LIPA;ACSL3;SLC25A18;TKT;ALDOA;NDUFA9;PRKAA1;DGUOK;GMPS;NDUFB3;PDK3;PDE10A;IMPDH2;FITM2;HKDC1;ACOT7;HMGCR;NUDT16;PCCA;PNP;PFKFB3;ENPP4;NUDT2;NDUFS8;ENTPD7;GPAM;MTHFD1;FAR1;NDUFAB1;PGD;NDUFA12;ELOVL5;NDUFS5;ACSL4;PANK1;AMPD3;FIS1;MCCC2;RPE;SUCLG1;NDUFA8;NDUFA6;FBP1;ITPA;NME4;SDHD;ACACA;DHTKD1;NDUFC2;ACOT4;PMVK;NDUFV2;NDUFB2;GNAI3;PSEN1;STOML2;OXSM;MTCH2;PGM2;DLD;GOT1;MCEE;NDUFA1;PRKAG2;ACOT9;NUDT3;SLC25A13;ATIC"
"Nucleoside Phosphate Biosynthetic Process","GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS",-0.538156810171593,-2.42123244465721,8.29262929013546e-18,7.26227010083613e-15,236,"AK4;AK7;PGK1;ELOVL6;QPRT;AK2;PDK1;GNPDA1;ENO1;ACLY;HSD17B12;NME1;MPI;GMDS;PAICS;DLAT;NDUFB9;MAP2K1;TPK1;TECR;APRT;GMPPB;PAPSS2;NDUFS3;FASN;ACSS2;PPT1;NANP;ACSL1;LIPA;ACSL3;ALDOA;NDUFA9;DGUOK;GMPS;NDUFB3;PDK3;IMPDH2;ACOT7;GFPT1;PCCA;PNP;CMAS;NUDT2;NDUFS8;MTHFD1;NDUFAB1;NDUFA12;ELOVL5;NDUFS5;ACSL4;PANK1;AMPD3;NDUFA8;NDUFA6;NME4;UPP1;SDHD;ACACA;NDUFC2;NDUFV2;NDUFB2;STOML2;DLD;UXS1;MCEE;NDUFA1;PGM3;DCTD;PRKAG2;SLC25A13;ATIC;TBPL1;RRM1;MLYCD;DTYMK;HPRT1;NDUFB10;NDUFB8;PMM2"
"Mitochondrial Translation","GOBP_MITOCHONDRIAL_TRANSLATION",-0.653679099130551,-2.69034489050937,1.23301179697914e-16,8.63848064963588e-14,120,"MRPL22;MRPL40;LRPPRC;MRPL13;MRPS22;MRPL17;MRPS35;MRPL14;EARS2;C1QBP;MRPL3;MRPL32;MRPL18;MRPS17;MRPL44;IARS2;MRPL39;MRPL21;TACO1;MRPS23;MRPS10;MRPL49;RMND1;DAP3;MRPL46;MRPL24;CDK5RAP1;TRUB2;MRPS6;MRPL50;MRPL27;GFM1;MRPL9;MRPS15;MRPS16;MRPL52;MRPS28;GFM2;MRPS31;MRPL47;MRPS34;MRPS26;MRPL23;FASTKD3;CHCHD1;MRPL15;MRPL20;PTCD3;MRPS14;YARS2;MRPS11;MRPS24;MRPS25;TSFM;GATC;MTG1;MRPL33;MRPS2;MRPL55;MRPS7;SHMT2;LARS2;AURKAIP1;MRPS27;MRPL48;MRPL35;MRPL30;MRPS33;MRPL51;FASTKD2;MRPL42;TUFM;MRPL12;MRPL4;MTIF3;MRPS21;MRPL28"
"Small Molecule Biosynthetic Process","GOBP_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS",-0.419032074421755,-1.97238216203778,6.9153175818201e-16,4.03739291485264e-13,449,"PGK1;MLXIPL;EBP;FADS2;NSDHL;FDPS;ALDOC;ENO2;ELOVL6;SCD;APOC1;FADS1;NR1H4;CYP51A1;DHCR7;MVK;PLOD1;ACSS3;TPI1;ENO1;HSD17B7;SORD;ACLY;AACS;HSD17B12;SIGMAR1;GOT2;LSS;PDSS1;MVD;NME1;GPI;VDAC1;SEC14L2;APOA1;PTGES;SLC19A3;PFKFB4;PGAM1;STAR;LTA4H;TPK1;AKR1B1;PARK7;TECR;OSBPL6;SQLE;ALDH8A1;APRT;HMGCS1;PYCR1;MTHFD1L;NR3C1;LPCAT3;APOE;FASN;ACSS2;IDI1;ERRFI1;FABP5;HSD17B4;NANP;PLTP;STARD4;SPTLC2;ACSL1;LIPA;FDFT1;NDUFA9;PRKAA1;HMGCL;PDSS2;PSAT1;DHRS9;SPTSSA;INSIG2;ACOT7;HMGCR;ACOX1;LPGAT1;MAPK1;PNP;AGK;GLS;PFKFB3;SLC39A14;PDXK;MTHFD1;ALDH1A3;NDUFAB1;PGD;ELOVL5;ACSL4;PPIP5K2;OSBP;ERLIN2;MECR;HSD17B1;FBP1;ACER2;COQ5;PTGES3;ACACA;SPR;ACOT4;PMVK;IPMK;GSTP1;BCAT1;OXSM;CYP2R1;CBR1;DHCR24;IPPK;PGM2;LDHAL6B;BHMT2;GOT1;HSD3B1;DCTD;PECR;PRKAG2;SLC25A13;INSIG1;DGAT2;ERLIN1;PLOD2;LHCGR;PSPH;MLYCD;MIF;NLN;SCP2;DTYMK;COQ3;HPRT1;DECR2;SPTLC1;ABHD3;ABHD2;PLAA;ASAH1;SEPSECS;ENOPH1;MTHFD2;GAMT;NR1H3"
"Monocarboxylic Acid Metabolic Process","GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS",-0.408764102958062,-1.91554685070577,1.7260329547904e-14,8.63756205804394e-12,474,"PGK1;LDHA;MLXIPL;CROT;FADS2;IDH1;PNPLA3;ALDOC;ENO2;ELOVL6;DECR1;SCD;APOC1;FADS1;UCP2;NR1H4;SLC2A6;ACAT2;LDHB;UCHL1;FABP3;PDK1;TPI1;ENO1;GAPDH;SORD;ACLY;AACS;SLC6A8;HSD17B12;SLC16A3;SIGMAR1;MGAT4A;NME1;GPI;VDAC1;PTGES;PFKP;PFKFB4;DLAT;LPIN1;HK2;PGAM1;STAR;TPK1;AKR1B1;PARK7;ABHD5;TECR;OSBPL6;ALDH8A1;ANGPTL3;DBI;PGAM4;MTHFD1L;APOE;FASN;ACSS2;HAL;MFSD8;ERRFI1;FABP5;HSD17B4;AKR1C2;NUDT12;TYRP1;STARD4;SLC4A4;ACSL1;LIPA;ACSL3;FAH;SCPEP1;ALDOA;ABHD6;PRKAA1;D2HGDH;GRHPR;DHRS9;PDK3;HKDC1;INSIG2;MRS2;ACOT7;ACOX1;ETFB;PCCA;LPGAT1;PFKFB3;GPAM;ALDH1A3;NDUFAB1;PGD;ELOVL5;ACBD5;SLC16A1;ALDH3A2;ACSL4;ABHD10;OSBP;ERLIN2;MECR;ETFA;FBP1;SLC25A16;PTGES3;ACACA;DHTKD1;ACOT4;GSTP1;PSEN1;AKR1C1;ECH1;ECHS1;OXSM;CBR1;MTCH2;ADH5;HADH;LDHAL6B;DLD;MCEE;IVD;GPX1;PECR;PRKAG2;ACOT9;INSIG1;FTCD;DGAT2;ERLIN1;MLYCD;MIF;SCP2;NUDT8;DECR2;ABHD3;ABHD2;PLAA;ASAH1;ETFDH;MFSD2A;MTHFD2;GAMT;NR1H3;VNN2;PNPLA8;ABCC4;TRIB3;HAGH;MTTP;CCDC93;AKR1A1;STAT3;PDHB;ABCD3;PTGR1;SLC45A3;PGM1;NAMPT;ARV1;VNN1;SREBF1;ECI2;XYLB;LYPLA1;ECHDC3;POR;PHYH;ECHDC1;HSD17B10;ARL2;GCDH;PCCB;ADPGK;PPP2CA;SHMT2;NME2;ABCC2"
"Purine Containing Compound Biosynthetic Process","GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS",-0.542852886992702,-2.3475505154948,2.26426658110544e-14,9.91465729201545e-12,188,"AK4;PGK1;ELOVL6;QPRT;AK2;PDK1;ENO1;ACLY;HSD17B12;NME1;PAICS;DLAT;NDUFB9;MAP2K1;TPK1;TECR;APRT;PAPSS2;NDUFS3;FASN;ACSS2;PPT1;ACSL1;LIPA;ACSL3;ALDOA;NDUFA9;DGUOK;GMPS;NDUFB3;PDK3;IMPDH2;ACOT7;PCCA;PNP;NUDT2;NDUFS8;MTHFD1;NDUFAB1;NDUFA12;ELOVL5;NDUFS5;ACSL4;PANK1;AMPD3;NDUFA8;NDUFA6;NME4;SDHD;ACACA;NDUFC2;NDUFV2;NDUFB2;STOML2;PGM2;DLD;MCEE;NDUFA1;PRKAG2;SLC25A13;ATIC;MLYCD;HPRT1;NDUFB10;NDUFB8;STAT3;NME3;NME7;PDHB;NDUFA7;NAMPT;NDUFC1;PAPSS1;GCDH;MTHFD2L;SDHC;NME2;NDUFA13;CBR4"
"Nucleoside Triphosphate Metabolic Process","GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS",-0.525669121025828,-2.32100489087833,2.81307479754731e-14,1.09491122397869e-11,211,"AK4;PGK1;LDHA;MLXIPL;ENPP3;ALDOC;ENO2;UCP2;SMPDL3A;SLC2A6;UCHL1;AK2;TPI1;ENO1;GAPDH;NME1;GPI;ENTPD3;NUDT5;PFKP;PFKFB4;NDUFB9;HK2;MAP2K1;PGAM1;PGAM4;NDUFS3;MFSD8;RAN;SLC4A4;LIPA;ALDOA;NDUFA9;PRKAA1;DGUOK;NDUFB3;IMPDH2;HKDC1;NUDT16;PFKFB3;NUDT2;NDUFS8;ENTPD7;NDUFAB1;NDUFA12;NDUFS5;FIS1;NDUFA8;NDUFA6;FBP1;ITPA;NME4;SDHD;DHTKD1;NDUFC2;NDUFV2;NDUFB2;GNAI3;PSEN1;STOML2;MTCH2;NDUFA1;PRKAG2;SLC25A13;TBPL1;DTYMK;NDUFB10;NDUFB8;FIGNL1;MTTP;STAT3;NME3;NME7;PGM1;NDUFA7;ATP6V1B2;CLPX;NDUFC1;DCTPP1;ARL2;SDHC;ADPGK;PPP2CA;NME2;NDUFA13;PRKAG1;VCP;OLA1;NDUFS4;DNM1L;CMPK2"
"Nucleotide Metabolic Process","GOBP_NUCLEOTIDE_METABOLIC_PROCESS",-0.43270407904587,-2.00281478354479,6.00498142357416e-14,2.10354499267803e-11,367,"AK4;AK7;PGK1;LDHA;MLXIPL;IDH1;ENPP3;ALDOC;ENO2;QPRT;UCP2;SLC2A6;LDHB;UCHL1;AK2;TPI1;ENO1;GAPDH;ACO1;GOT2;NME1;CASK;GPI;PAICS;NUDT5;PFKP;PFKFB4;NDUFB9;HK2;MAP2K1;PGAM1;PARK7;APRT;PGAM4;RORA;PAPSS2;NDUFS3;PDE8A;MFSD8;MDH1;RAN;NUDT12;SLC4A4;LIPA;SLC25A18;TKT;ALDOA;NDUFA9;PRKAA1;DGUOK;GMPS;NDUFB3;PDE10A;IMPDH2;HKDC1;NUDT16;PNP;PFKFB3;NUDT2;NDUFS8;ENTPD7;MTHFD1;NDUFAB1;PGD;NDUFA12;NDUFS5;AMPD3;FIS1;RPE;NDUFA8;NDUFA6;FBP1;ITPA;UNG;NME4;UPP1;SDHD;DHTKD1;NDUFC2;NDUFV2;NDUFB2;GNAI3;PSEN1;STOML2;MTCH2;GOT1;NDUFA1;DCTD;PRKAG2;NUDT3;SLC25A13;ATIC;TBPL1;RRM1;PTHLH;DTYMK;HPRT1;NDUFB10;MPP1;NDUFB8;RPIA"
