Term,pathway,ES,NES,pval,FDR,size,LeadingEdgeGenes,Direction,Abs_NES
Mitochondrial Gene Expression,GOBP_MITOCHONDRIAL_GENE_EXPRESSION,-0.639565120891827,-2.70059634875783,2.0424501560624399e-19,2.38490096556225e-16,150,TRMT61B;MRPL22;MRPL40;LRPPRC;MRPL13;MRPS22;MRPL17;MRPS35;MRPL14;EARS2;C1QBP;MRPL3;MRPL32;MRPL18;MRPS17;MRPL44;IARS2;MRPL39;MRPL21;TACO1;PRKAA1;MRPS23;MRPS10;MRPL49;RMND1;DAP3;MRPL46;TRIT1;MRPL24;SLIRP;CDK5RAP1;TFB2M;TRUB2;TFAM;MRPS6;FASTKD1;MRPL50;MRPL27;GFM1;MRPL9;MRPS15;SLC25A33;MRPS16;MRPL52;FASTKD5;MRPS28;GFM2;MRPS31;MRPL47;MRPS34;MRPS26;MRPL23;FASTKD3;PUS1;CHCHD1;MRPL15;MRPL20;PTCD3;MRPS14;YARS2;MRPS11;MRPS24;MRPS25;TSFM;GATC;MTG1;MRPL33;MRPS2;MRPL55;MRPS7;HSD17B10;FOXO3;SHMT2;LARS2;AURKAIP1;MRPS27;MRPL48;MRPL35;MRPL30;MRPS33;FASTK;MRPL51;FASTKD2;MRPL42;PNPT1;TUFM;SUPV3L1;MRPL12;MRPL4;MTIF3;MRPS21;MRPL28,Negative,2.70059634875783
Mitochondrial Translation,GOBP_MITOCHONDRIAL_TRANSLATION,-0.653679099130551,-2.69034489050937,1.2330117969791399e-16,8.63848064963588e-14,120,MRPL22;MRPL40;LRPPRC;MRPL13;MRPS22;MRPL17;MRPS35;MRPL14;EARS2;C1QBP;MRPL3;MRPL32;MRPL18;MRPS17;MRPL44;IARS2;MRPL39;MRPL21;TACO1;MRPS23;MRPS10;MRPL49;RMND1;DAP3;MRPL46;MRPL24;CDK5RAP1;TRUB2;MRPS6;MRPL50;MRPL27;GFM1;MRPL9;MRPS15;MRPS16;MRPL52;MRPS28;GFM2;MRPS31;MRPL47;MRPS34;MRPS26;MRPL23;FASTKD3;CHCHD1;MRPL15;MRPL20;PTCD3;MRPS14;YARS2;MRPS11;MRPS24;MRPS25;TSFM;GATC;MTG1;MRPL33;MRPS2;MRPL55;MRPS7;SHMT2;LARS2;AURKAIP1;MRPS27;MRPL48;MRPL35;MRPL30;MRPS33;MRPL51;FASTKD2;MRPL42;TUFM;MRPL12;MRPL4;MTIF3;MRPS21;MRPL28,Negative,2.69034489050937
Glycolytic Process Through Glucose 6 Phosphate,GOBP_GLYCOLYTIC_PROCESS_THROUGH_GLUCOSE_6_PHOSPHATE,-0.852731031396984,-2.44076113924839,6.13018009557141e-8,5.05981638311607e-6,19,PGK1;ENO2;TPI1;ENO1;GAPDH;PFKP;HK2;PGAM1;ALDOA,Negative,2.44076113924839
Cholesterol Biosynthetic Process via Desmosterol,GOBP_CHOLESTEROL_BIOSYNTHETIC_PROCESS_VIA_DESMOSTEROL,-0.875488717385095,-2.42365250697278,3.98297808401226e-8,3.67167690218288e-6,17,EBP;NSDHL;FDPS;DHCR7;MVK;HSD17B7;LSS;MVD;SQLE;HMGCS1;IDI1;FDFT1;HMGCR,Negative,2.42365250697278
Nucleoside Phosphate Biosynthetic Process,GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,-0.538156810171593,-2.42123244465721,8.29262929013546e-18,7.262270100836131e-15,236,AK4;AK7;PGK1;ELOVL6;QPRT;AK2;PDK1;GNPDA1;ENO1;ACLY;HSD17B12;NME1;MPI;GMDS;PAICS;DLAT;NDUFB9;MAP2K1;TPK1;TECR;APRT;GMPPB;PAPSS2;NDUFS3;FASN;ACSS2;PPT1;NANP;ACSL1;LIPA;ACSL3;ALDOA;NDUFA9;DGUOK;GMPS;NDUFB3;PDK3;IMPDH2;ACOT7;GFPT1;PCCA;PNP;CMAS;NUDT2;NDUFS8;MTHFD1;NDUFAB1;NDUFA12;ELOVL5;NDUFS5;ACSL4;PANK1;AMPD3;NDUFA8;NDUFA6;NME4;UPP1;SDHD;ACACA;NDUFC2;NDUFV2;NDUFB2;STOML2;DLD;UXS1;MCEE;NDUFA1;PGM3;DCTD;PRKAG2;SLC25A13;ATIC;TBPL1;RRM1;MLYCD;DTYMK;HPRT1;NDUFB10;NDUFB8;PMM2,Negative,2.42123244465721
Sterol Biosynthetic Process,GOBP_STEROL_BIOSYNTHETIC_PROCESS,-0.679336123510545,-2.40177394601922,1.13813502557588e-8,1.2459021858101e-6,53,EBP;NSDHL;FDPS;CYP51A1;DHCR7;MVK;HSD17B7;ACLY;LSS;MVD;SEC14L2;APOA1;SQLE;HMGCS1;LPCAT3;APOE;IDI1;LIPA;FDFT1;PRKAA1;INSIG2;HMGCR;MAPK1;ERLIN2;PMVK;DHCR24;PRKAG2;INSIG1;ERLIN1,Negative,2.40177394601922
Glycolytic Process Through Fructose 6 Phosphate,GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE,-0.817078422244064,-2.40141564779545,2.82371900454117e-7,1.7868799046309e-5,22,PGK1;ENO2;TPI1;ENO1;GAPDH;PFKP;HK2;PGAM1;ALDOA,Negative,2.40141564779545
Nucleoside Diphosphate Metabolic Process,GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,-0.587055684626671,-2.378691247977,1.6688516414228297e-11,3.897324866602781e-9,113,AK4;PGK1;LDHA;MLXIPL;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;AK2;TPI1;ENO1;GAPDH;NME1;CASK;GPI;ENTPD3;NUDT5;PFKP;PFKFB4;HK2;PGAM1;PGAM4;MFSD8;SLC4A4;LIPA;ALDOA;PRKAA1;HKDC1;PFKFB3;ENTPD7,Negative,2.378691247977
Pyruvate Metabolic Process,GOBP_PYRUVATE_METABOLIC_PROCESS,-0.596891479902887,-2.37829324887674,4.0191737276894794e-11,8.799478480060151e-9,105,PGK1;LDHA;MLXIPL;ALDOC;ENO2;UCP2;SLC2A6;LDHB;UCHL1;PDK1;TPI1;ENO1;GAPDH;SLC16A3;GPI;VDAC1;PFKP;PFKFB4;DLAT;HK2;PGAM1;TPK1;PGAM4;MFSD8;SLC4A4;LIPA;ALDOA;PRKAA1;PDK3;HKDC1;PFKFB3;SLC16A1;FBP1;DHTKD1;PSEN1;MTCH2;LDHAL6B;DLD,Negative,2.37829324887674
Oxidative Phosphorylation,GOBP_OXIDATIVE_PHOSPHORYLATION,-0.595640676050361,-2.34927142867772,2.1971601228761601e-10,4.05086942654484e-8,101,AK4;MLXIPL;NDUFB9;PARK7;NDUFS3;UQCR11;PPIF;NDUFAF1;NDUFA9;DGUOK;NDUFB3;UQCRC2;NDUFS8;RHOA;NDUFAB1;NDUFA12;NDUFS5;CYC1;GHITM;NDUFA8;NDUFA6;SDHD;COX6C;NDUFC2;NDUFV2;NDUFB2;UQCRH;STOML2;MTCH2;UQCRFS1;DLD;SLC25A33;NDUFA1;COX5B;NDUFB10;NDUFB8;MSH2;UQCR10;NDUFA7;COX4I1;UQCRQ;NDUFC1;SDHC;SHMT2;NDUFA13;COX7C;NDUFA4;VCP;NDUFS4;CHCHD2;COX6B1;COX7A2;TMEM135;COX7B;NDUFS1;COX6A1;SDHB;NDUFA11;SDHAF2,Negative,2.34927142867772
Purine Containing Compound Biosynthetic Process,GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,-0.542852886992702,-2.3475505154948,2.26426658110544e-14,9.91465729201545e-12,188,AK4;PGK1;ELOVL6;QPRT;AK2;PDK1;ENO1;ACLY;HSD17B12;NME1;PAICS;DLAT;NDUFB9;MAP2K1;TPK1;TECR;APRT;PAPSS2;NDUFS3;FASN;ACSS2;PPT1;ACSL1;LIPA;ACSL3;ALDOA;NDUFA9;DGUOK;GMPS;NDUFB3;PDK3;IMPDH2;ACOT7;PCCA;PNP;NUDT2;NDUFS8;MTHFD1;NDUFAB1;NDUFA12;ELOVL5;NDUFS5;ACSL4;PANK1;AMPD3;NDUFA8;NDUFA6;NME4;SDHD;ACACA;NDUFC2;NDUFV2;NDUFB2;STOML2;PGM2;DLD;MCEE;NDUFA1;PRKAG2;SLC25A13;ATIC;MLYCD;HPRT1;NDUFB10;NDUFB8;STAT3;NME3;NME7;PDHB;NDUFA7;NAMPT;NDUFC1;PAPSS1;GCDH;MTHFD2L;SDHC;NME2;NDUFA13;CBR4,Negative,2.3475505154948
Nucleoside Diphosphate Catabolic Process,GOBP_NUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS,-0.598946682406828,-2.3275221614974,1.04111002921657e-9,1.65773110561165e-7,88,PGK1;LDHA;MLXIPL;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;TPI1;ENO1;GAPDH;GPI;ENTPD3;NUDT5;PFKP;PFKFB4;HK2;PGAM1;PGAM4;MFSD8;SLC4A4;LIPA;ALDOA;PRKAA1;HKDC1;PFKFB3;ENTPD7;FBP1;DHTKD1;PSEN1;MTCH2,Negative,2.3275221614974
Nucleoside Triphosphate Metabolic Process,GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,-0.525669121025828,-2.32100489087833,2.81307479754731e-14,1.0949112239786899e-11,211,AK4;PGK1;LDHA;MLXIPL;ENPP3;ALDOC;ENO2;UCP2;SMPDL3A;SLC2A6;UCHL1;AK2;TPI1;ENO1;GAPDH;NME1;GPI;ENTPD3;NUDT5;PFKP;PFKFB4;NDUFB9;HK2;MAP2K1;PGAM1;PGAM4;NDUFS3;MFSD8;RAN;SLC4A4;LIPA;ALDOA;NDUFA9;PRKAA1;DGUOK;NDUFB3;IMPDH2;HKDC1;NUDT16;PFKFB3;NUDT2;NDUFS8;ENTPD7;NDUFAB1;NDUFA12;NDUFS5;FIS1;NDUFA8;NDUFA6;FBP1;ITPA;NME4;SDHD;DHTKD1;NDUFC2;NDUFV2;NDUFB2;GNAI3;PSEN1;STOML2;MTCH2;NDUFA1;PRKAG2;SLC25A13;TBPL1;DTYMK;NDUFB10;NDUFB8;FIGNL1;MTTP;STAT3;NME3;NME7;PGM1;NDUFA7;ATP6V1B2;CLPX;NDUFC1;DCTPP1;ARL2;SDHC;ADPGK;PPP2CA;NME2;NDUFA13;PRKAG1;VCP;OLA1;NDUFS4;DNM1L;CMPK2,Negative,2.32100489087833
Isoprenoid Biosynthetic Process,GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS,-0.753010190114194,-2.31401119809841,3.53597419602648e-6,1.5105509278879e-4,25,FDPS;ACAT2;MVK;LSS;PDSS1;MVD;ALDH8A1;HMGCS1;IDI1;PDSS2;DHRS9;HMGCR;ALDH1A3;DPM3;PMVK;GGPS1,Negative,2.31401119809841
