Term,pathway,ES,NES,pval,FDR,size,LeadingEdgeGenes,Direction,Abs_NES
Cardiac Ventricle Development,GOBP_CARDIAC_VENTRICLE_DEVELOPMENT,0.625964701418248,2.0148161587647,1.06784334804244e-7,7.63399030243399e-6,90,SOX4;WNT5A;HES1;NPY2R;ZFPM2;SAV1;VANGL2;TGFB2;SMAD6;HEYL;HAND2;SEMA3C;NRG1;COL11A1;DSP;GJA5;GREB1L;MYOCD;SCN5A;TBX3;JAG1;TNNI3;PAX8;SUFU;PRDM1;BMPR2;GRHL2;PPP1R13L;GSK3A;PTK7;APLNR,Positive,2.0148161587647
Cardiac Chamber Development,GOBP_CARDIAC_CHAMBER_DEVELOPMENT,0.584205202444228,1.95493612173228,5.4895400485424e-8,4.807464697511e-6,120,SOX4;WNT5A;HES1;NPY2R;ZFPM2;SAV1;VANGL2;TGFB2;NRP1;SMAD6;ANK2;HEYL;HAND2;SEMA3C;NRG1;COL11A1;KCNJ8;SMO;DSP;GJA5;GREB1L;MYOCD;CRELD1;SCN5A;TBX3;JAG1;TNNI3;PAX8;SUFU;PRDM1;BMPR2;GRHL2;PPP1R13L;GSK3A;PTK7;APLNR;NRP2;UBE4B;SRF;GATA6;CHD7;FGFR2;SMAD4,Positive,1.95493612173228
Cardiac Septum Development,GOBP_CARDIAC_SEPTUM_DEVELOPMENT,0.602600843102394,1.91668805102613,2.94796865676333e-6,1.3594617145273e-4,80,SOX4;WNT5A;HES1;ZFPM2;SAV1;VANGL2;TGFB2;NRP1;SMAD6;ANK2;HEYL;SEMA3C;KCNJ8;SMO;GJA5;CRELD1;TBX3;JAG1;PAX8;SUFU;PRDM1;BMPR2;PTK7;APLNR;NRP2;GATA6;CHD7;FGFR2;SMAD4,Positive,1.91668805102613
Positive Regulation of Axon Extension,GOBP_POSITIVE_REGULATION_OF_AXON_EXTENSION,0.696613179372317,1.91413282585377,1.4272590791354e-4,0.00324237023759226,31,SEMA5A;CDH4;SEMA7A;CDKL5;NRP1;PAK1;GDI1;FN1;BMPR2;LIMK1;ZFYVE27;SRF,Positive,1.91413282585377
Neuron Projection Guidance,GOBP_NEURON_PROJECTION_GUIDANCE,0.549355976494839,1.90988691437547,3.25329631843948e-8,3.08008027121446e-6,169,WNT5A;NELL2;SEMA5A;CDH4;NDP;EGR2;NR4A3;MATN2;SEMA7A;CNTN1;ROBO3;VANGL2;TGFB2;NRP1;SEMA4A;ABLIM1;SEMA6C;SEMA3C;ERBB2;CNTN4;PTPRM;SMO;EFNB1;UNC5D;NTN4;UNC5C;ARHGEF40;TTC8;ULK2;RPS6KA5;PLEKHG4B;FEZ1;CHL1;NEO1;FYN;LHX4;PRKCQ;KALRN;SEMA3A;BMPR2;SEMA4C;FOXG1;RYK;SEMA3B;PTK7;NRP2;NOTCH3;EXT1;CNTN2;GDF7;DLX5;FZD3;PCDHAC2;TUBB3;SMAD4;PTCH1;EPHA6;CHN1;DPYSL5;SEMA6A;KIF5C;DAG1;EFNB3;KIFC2;EFNA5;NEXN;EFNA1;LAMA2;NFASC;SEMA4F;LAMB2;FLRT2;ALCAM;PTPRH;SEMA6B,Positive,1.90988691437547
Stem Cell Development,GOBP_STEM_CELL_DEVELOPMENT,0.619031117809538,1.90555962941978,2.29971701581684e-5,7.5288866415013e-4,61,SEMA5A;HES1;FGF12;SEMA7A;NRP1;SEMA4A;SEMA6C;HAND2;SEMA3C;NRG1;SMO;EFNB1;ALDH1A2;JAG1;FN1;EDNRB;SNAI2;PHACTR4;SEMA3A;SEMA4C;SEMA3B;SOX9;NRP2;TCOF1,Positive,1.90555962941978
Cardiac Ventricle Morphogenesis,GOBP_CARDIAC_VENTRICLE_MORPHOGENESIS,0.641686227805176,1.89673511543906,1.0419921499907e-4,0.00251730931132246,46,SOX4;NPY2R;ZFPM2;TGFB2;HEYL;HAND2;SEMA3C;NRG1;COL11A1;DSP;JAG1;TNNI3;GRHL2;PPP1R13L;GSK3A;UBE4B;CHD7;FGFR2;SMAD4,Positive,1.89673511543906
Non Canonical Wnt Signaling Pathway,GOBP_NON_CANONICAL_WNT_SIGNALING_PATHWAY,0.627329796128822,1.89153060261138,5.07759354969799e-5,0.00144608213045464,54,WNT5A;PRICKLE1;SFRP4;DAAM2;VANGL2;FZD5;ZNRF3;NKD1;SFRP5;DACT1;FZD4;MED12;CELSR2;CSNK1E;RYK;DVL2;DAAM1;DVL3;ARHGEF19;FZD3;PLEKHA4,Positive,1.89153060261138
Homophilic Cell Cell Adhesion,GOBP_HOMOPHILIC_CELL_CELL_ADHESION,0.569840559961124,1.88518252827797,9.54945596550346e-6,3.5586961965062e-4,99,CDH4;DCHS1;DCHS2;CDH3;FAT3;CLSTN2;PCDHGB7;ROBO3;FAT2;PCDH9;PCDH17;PCDH18;TRO;CNTN4;PTPRM;IGSF11;CDH12;CADM1;PCDHGB6;CDH1;PCDHGB4;CELSR2;AMIGO2;PCDHB14;CADM4;PTK7;PCDH10;PCDHGA10;PCDHGB5;CNTN2;KIRREL3;FAT4;PCDHAC2;PCDHGA9;CLSTN3;CEACAM1;PCDHGB2;CELSR1;PKD1;PCDH11X;NEXN;PCDHB13;PCDH7;CDH2;CD84;PCDHGA12;PALLD;PCDHGC3;CLSTN1;PCDHA9,Positive,1.88518252827797
Neural Crest Cell Differentiation,GOBP_NEURAL_CREST_CELL_DIFFERENTIATION,0.600984951628245,1.87274088687861,3.23497130489792e-5,0.00100284110451835,68,SEMA5A;HES1;FGF12;SEMA7A;NRP1;SEMA4A;SEMA6C;HAND2;SEMA3C;NRG1;SMO;EFNB1;ALDH1A2;LRP6;JAG1;FN1;EDNRB;SNAI2;PHACTR4;SEMA3A;SEMA4C;SEMA3B;SOX9;NRP2;TCOF1;EXT1,Positive,1.87274088687861
