"Database","Regulator","Target_Count","Overlap","OddsRatio","PValue","FDR","OverlapGenes"
"TRRUST","TP53",164,51,2.43755762729229,0.00000169232279729455,0.000776776163958197,"BCL2;EGFR;CDK1;CCNB1;BIRC5;PLK1;NME1;MAD1L1;DUSP1;TP53;THBS1;BRCA1;AKT1;CHEK1;TCF7L2;S100B;EGR1;RB1;E2F7;ESR1;CDK2;BRCA2;GSTP1;PLK3;ID1;E2F1;IGFBP3;ING1;GPNMB;IER3;PRC1;RAD51B;STAT3;CCNA2;BTG2;XPC;PTPN13;ATF3;ALOX5;MKI67;RELA;PTTG1;PTEN;CRYAB;HSP90AB1;CASP3;FOXM1;DNMT1;KLF2;VCAN;SLC2A1"
"TRRUST","BRCA1",57,19,2.59745160499878,0.00144688327724327,0.109114388063783,"IGF1;EGFR;CCNB1;SIRT1;ASPM;CDH3;HMGA2;DDIT3;EGR1;FOS;ESR1;BRCA2;CASR;STAT3;XPC;MDC1;JAK1;HSPA5;MAD2L1"
"TRRUST","EGR1",88,26,2.18731882202305,0.0016027465421671,0.109114388063783,"FN1;EGFR;PDGFB;MMP14;TP53;WNT4;IMPDH2;AKR1B1;ACE;PTGES;F3;MYB;HPSE;PDGFC;ATF3;CCND2;GGPS1;ALOX5;STMN1;PTEN;PTGS2;UBE2S;NAB2;POR;IGF2;STIM1"
"TRRUST","ESR1",76,23,2.25877281525728,0.00208631835030119,0.109114388063783,"BCL2;EGFR;CDH1;TP53;JUN;BRCA1;FOXP1;FOS;ESR1;E2F1;CCNA2;BTG2;DCT;NQO1;AMH;CEBPB;KRT19;BLM;JUNB;KDR;CRHBP;CD24;ZFHX3"
"TRRUST","RB1",31,12,3.26059395898704,0.00268219131392578,0.109114388063783,"IGF1;FGFR1;CDK1;BIRC5;CDH1;BRCA1;DDIT3;RB1;FOS;E2F1;DNMT3A;EBNA1BP2"
"TRRUST","E2F1",134,35,1.84938453736573,0.00296866990797434,0.109114388063783,"FGFR1;BCL2;CDK1;CCNB1;BIRC5;PLK1;CDKN1C;DUSP1;TP53;CTNNBIP1;CDC6;THBS1;BRCA1;ULK1;CHEK1;DDIT3;RB1;FSHR;KIF2C;E2F1;MYBL2;TNFSF11;MYB;WWOX;TOP2A;KDR;PEG10;RRM1;PCSK6;FOXM1;TLR3;DNMT1;HSPA5;NELL2;HIC1"
"TRRUST","FOXL2",5,4,15.0945454545455,0.00332810769693455,0.109114388063783,"SIRT1;STAR;CYP11A1;CCND2"
"TRRUST","SMAD4",26,10,3.22565134742256,0.00637019278233449,0.142219538053011,"BCL2;UCP2;JUN;SKIL;FSTL3;GLI1;ZFP36;SMAD7;POR;DACH1"
"TRRUST","GLI1",19,8,3.73726784098771,0.00773300281389805,0.149384777353373,"SOX9;SMAD4;BCL2;JUN;AKT1;EGR2;CDK2;SFRP1"
"TRRUST","DNMT3A",9,5,6.15566356149588,0.00888718409282292,0.149384777353373,"JUP;IGFBP3;SFRP5;SFRP1;SETDB1"
"TRRUST","WT1",57,17,2.20267618473709,0.00911279687558704,0.149384777353373,"IGF1;BCL2;EGFR;SNAI2;CDH1;JUN;THBS1;PDGFA;HBEGF;MYB;AMH;JUNB;CTCF;DNMT3A;NDRG2;IGF2;STIM1"
"TRRUST","STAT3",142,33,1.56956772814679,0.0239694892274416,0.245487285528062,"BCL2;EGFR;BIRC5;CDH1;NME1;UCP2;IL10;MMP14;TP53;PRDM1;AKT1;DDIT3;PIM1;FOS;HMOX1;F2R;SOCS3;PTPN13;ABCA1;MDC1;CCND2;JUNB;ZFP36;ESR2;HSPA4;LTBP1;PTEN;PTGS2;DNMT1;POU2F1;AKAP12;FAAH;CISH"
"TRRUST","PTTG1",15,6,3.44605423424579,0.0271928321485989,0.245487285528062,"CDK1;CCNB1;ID3;DOCK1;KDR;RHOA"
"TRRUST","SKIL",2,2,25.0482509047045,0.0278111957460985,0.245487285528062,"SMAD7;ADAM12"
"TRRUST","PAX8",8,4,5.02424242424242,0.0305932859273704,0.260042930382649,"TP53;WT1;E2F1;TG"
"TRRUST","SOX4",8,4,5.02424242424242,0.0305932859273704,0.260042930382649,"AXIN2;HDAC8;DHX9;DICER1"
"TRRUST","EGR3",3,2,8.34539605950945,0.0741855269660988,0.395943684621388,"CAT;NAB2"
"TRRUST","NR4A1",15,5,2.63050396343227,0.089638673281118,0.467547170864013,"STAR;E2F1;CCNA2;CYP11A1;HSD3B2"
"TRRUST","KLF10",7,3,3.89829369877737,0.0958692628729104,0.472980203317283,"FGFR1;EGFR;STMN1"
"TRRUST","KLF4",40,10,1.73316798741758,0.11657180136604,0.472980203317283,"CCNB1;BIRC5;CDH1;CDKN1C;PFKP;TP53;KRT19;ATF3;HDC;LAMA3"
"TRRUST","TCF7L2",12,4,2.65475935828877,0.125248485523141,0.472980203317283,"SNAI2;BIRC5;STAT3;PTGS2"
"TRRUST","ENO1",4,2,5.00482509047045,0.132176730631125,0.472980203317283,"HSD3B2;PTGS2"
"TRRUST","ERCC2",8,3,3.18797405738155,0.135034849040234,0.472980203317283,"BCL2;TP53;E2F1"
"TRRUST","HDAC5",8,3,3.18797405738155,0.135034849040234,0.472980203317283,"WT1;IGF2;SLC2A1"
"TRRUST","RELA",301,57,1.19876504233612,0.151460842533851,0.472980203317283,"HES1;BCL2;FN1;EGFR;CCNB1;BIRC5;GSK3A;CDH1;IL10;MMP14;SIRT1;TP53;AKT1;FBP1;WT1;EGR1;CDK6;CSF1;SOD2;AGT;BRCA2;UPP1;HBEGF;GSTP1;E2F1;PTGES;IL18;HMOX1;IER3;STAT3;F3;BTG2;TNFAIP3;AGER;HPSE;SOCS3;AMH;PTPN13;ABCA1;MIF;CEACAM1;CCND2;JUNB;ALOX5;VCAM1;ADORA3;PCYT2;PTEN;PTGS2;CASP3;TLR3;NAMPT;BMP2;EPCAM;LPL;OXTR;SLC25A27"
"TRRUST","APBB1",1,1,14.9927797833935,0.1669341894061,0.472980203317283,"GMPS"
"TRRUST","BARD1",1,1,14.9927797833935,0.1669341894061,0.472980203317283,"ESR1"
"TRRUST","E2F7",1,1,14.9927797833935,0.1669341894061,0.472980203317283,"E2F1"
"TRRUST","PHF8",1,1,14.9927797833935,0.1669341894061,0.472980203317283,"CDC20"
"TRRUST","TFCP2L1",1,1,14.9927797833935,0.1669341894061,0.472980203317283,"CYP11A1"
"TRRUST","ZNF423",1,1,14.9927797833935,0.1669341894061,0.472980203317283,"BRCA1"
"TRRUST","SNAI2",14,4,2.14701298701299,0.194018210319778,0.503530801181194,"JAG1;CDH1;HPGD;CDH2"
"TRRUST","TNFAIP3",5,2,3.57315181802516,0.19663211991369,0.503530801181194,"JUN;RELA"
"TRRUST","CTCF",30,7,1.60042085574,0.223612938107536,0.540308642412847,"BRCA1;WT1;ANG;SIX5;RAD21;IGF2;ETNK2"
"TRRUST","ZBTB16",10,3,2.33559048770657,0.225240199213591,0.540308642412847,"SOX9;BCL2;CCNA2"
"TRRUST","JUNB",15,4,1.95936758893281,0.231974405606564,0.540308642412847,"SMAD4;EGFR;NQO1;PTGS2"
"TRRUST","SOX6",6,2,2.77777777777778,0.263789348493683,0.540308642412847,"TP53;CCNA2"
"TRRUST","SIRT1",48,10,1.36766185843677,0.271397373575663,0.540308642412847,"TBX3;BCL11A;CDH1;TP53;XPC;NQO1;ADAMTS5;LIN28A;HSPA4;HIC1"
"TRRUST","ATF3",16,4,1.80174545454545,0.271528070961435,0.540308642412847,"TP53;AK4;DDIT3;ID1"
"TRRUST","E2F8",2,1,4.99518652226233,0.306057183066101,0.540308642412847,"E2F1"
"TRRUST","NFE2L1",2,1,4.99518652226233,0.306057183066101,0.540308642412847,"NQO1"
"TRRUST","SIN3A",2,1,4.99518652226233,0.306057183066101,0.540308642412847,"E2F1"
"TRRUST","CEBPD",17,4,1.66747474747475,0.312109040412139,0.54888141589721,"GAPDH;DDIT3;C3;PTGS2"
"TRRUST","ING1",7,2,2.27163066125672,0.330957382741993,0.566826263726025,"TP53;CASP3"
"TRRUST","NR2F2",7,2,2.27163066125672,0.330957382741993,0.566826263726025,"E2F1;HEY2"
"TRRUST","SOX9",23,5,1.48720895865489,0.335958493438389,0.571129438845262,"HES1;KLF4;DCT;AMH;CEACAM1"
