"Regulator","Target_Count","Overlap","OddsRatio","PValue","OverlapGenes","FDR"
"TP53",164,51,2.43755762729229,0.00000169232279729455,"BCL2;EGFR;CDK1;CCNB1;BIRC5;PLK1;NME1;MAD1L1;DUSP1;TP53;THBS1;BRCA1;AKT1;CHEK1;TCF7L2;S100B;EGR1;RB1;E2F7;ESR1;CDK2;BRCA2;GSTP1;PLK3;ID1;E2F1;IGFBP3;ING1;GPNMB;IER3;PRC1;RAD51B;STAT3;CCNA2;BTG2;XPC;PTPN13;ATF3;ALOX5;MKI67;RELA;PTTG1;PTEN;CRYAB;HSP90AB1;CASP3;FOXM1;DNMT1;KLF2;VCAN;SLC2A1",0.000776776163958197
"HIF1A",83,29,2.82515537141166,0.0000314939314823322,"PGK1;ENO1;ALDOA;CDH1;GAPDH;TGFB3;LDHA;EDNRB;PFKFB3;PFKFB4;PIK3CA;HBEGF;ERCC2;ACE;PTGES;NR4A1;STAT3;RORA;XPC;NR3C1;MIF;WASF3;SDHB;BNIP3;ASS1;TUBB3;SLC29A1;VIM;SLC2A1",0.00722785727519523
"HDAC1",71,24,2.66699296010727,0.000276202159270232,"EGFR;SNAI2;KLF4;BIRC5;CDH1;TP53;HMGCS1;EGR1;FOS;ESR1;BRCA2;E2F1;IGFBP3;STAT3;SFRP1;RHOB;TJP1;CCND2;SMAD7;PTGS2;DNMT1;EIF2AK1;HSPA5;EPCAM",0.0422589303683456
"BRCA1",57,19,2.59745160499878,0.00144688327724327,"IGF1;EGFR;CCNB1;SIRT1;ASPM;CDH3;HMGA2;DDIT3;EGR1;FOS;ESR1;BRCA2;CASR;STAT3;XPC;MDC1;JAK1;HSPA5;MAD2L1",0.109114388063783
"EGR1",88,26,2.18731882202305,0.0016027465421671,"FN1;EGFR;PDGFB;MMP14;TP53;WNT4;IMPDH2;AKR1B1;ACE;PTGES;F3;MYB;HPSE;PDGFC;ATF3;CCND2;GGPS1;ALOX5;STMN1;PTEN;PTGS2;UBE2S;NAB2;POR;IGF2;STIM1",0.109114388063783
"ESR1",76,23,2.25877281525728,0.00208631835030119,"BCL2;EGFR;CDH1;TP53;JUN;BRCA1;FOXP1;FOS;ESR1;E2F1;CCNA2;BTG2;DCT;NQO1;AMH;CEBPB;KRT19;BLM;JUNB;KDR;CRHBP;CD24;ZFHX3",0.109114388063783
"ABL1",10,6,7.29259710380295,0.00240420176479213,"BCL2;TP53;JUN;PIM1;CSF1;CCND2",0.109114388063783
"MYC",100,28,2.02825189721741,0.0026188950201989,"BCL2;PGK1;CCNB1;LDHA;TP53;AXIN2;CHEK1;CDH3;UBE2C;BRD7;CDK6;CDK2;IER3;CCNA2;SFRP1;MAPK1;ATF3;CCND2;JUNB;NOL7;PRDX3;PROM1;HSPA4;DDX18;EBNA1BP2;TFAM;ASS1;FOXM1",0.109114388063783
"RB1",31,12,3.26059395898704,0.00268219131392578,"IGF1;FGFR1;CDK1;BIRC5;CDH1;BRCA1;DDIT3;RB1;FOS;E2F1;DNMT3A;EBNA1BP2",0.109114388063783
"ELK1",20,9,4.1871965857562,0.00275688945484854,"SRF;PDGFB;PSEN1;ERBB2;FOS;PTPRZ1;ZFP36;DAP3;EIF2AK1",0.109114388063783
"E2F1",134,35,1.84938453736573,0.00296866990797434,"FGFR1;BCL2;CDK1;CCNB1;BIRC5;PLK1;CDKN1C;DUSP1;TP53;CTNNBIP1;CDC6;THBS1;BRCA1;ULK1;CHEK1;DDIT3;RB1;FSHR;KIF2C;E2F1;MYBL2;TNFSF11;MYB;WWOX;TOP2A;KDR;PEG10;RRM1;PCSK6;FOXM1;TLR3;DNMT1;HSPA5;NELL2;HIC1",0.109114388063783
"HDAC4",24,10,3.6741315689019,0.00322301991742328,"SMAD4;KLF4;IL10;JUN;WT1;PTGES;VCAM1;PTGS2;TGIF2;ATF4",0.109114388063783
"BCL3",5,4,15.0945454545455,0.00332810769693455,"EGFR;MYB;CTCF;RELA",0.109114388063783
"FOXL2",5,4,15.0945454545455,0.00332810769693455,"SIRT1;STAR;CYP11A1;CCND2",0.109114388063783
"KLF8",8,5,7.91824336052769,0.00457110592881058,"FN1;CDH1;MMP14;CDH2;VIM",0.117912768470507
"PARP1",25,10,3.43542435424354,0.00458817709099796,"BCL2;FN1;CDH1;IL10;JUN;BRCA2;FOXO1;E2F1;RELA;VIM",0.117912768470507
"PGR",25,10,3.43542435424354,0.00458817709099796,"BCL2;EGFR;IL10;DUSP1;ERBB2;ESR1;IGFBP1;E2F1;RELA;PTGS2",0.117912768470507
"TRIM16",3,3,35.1523579201935,0.0046240301360983,"E2F1;DES;VIM",0.117912768470507
"SMAD4",26,10,3.22565134742256,0.00637019278233449,"BCL2;UCP2;JUN;SKIL;FSTL3;GLI1;ZFP36;SMAD7;POR;DACH1",0.142219538053011
"NRF1",15,7,4.45701357466063,0.00649839519853823,"NQO1;FXR2;IDE;PRDX3;SDHB;SLC46A1;COX6A1",0.142219538053011
"YBX1",30,11,2.99234879382845,0.00650677625079135,"EGFR;CDC20;CCNB1;CDH1;ERBB2;AGT;E2F1;RBBP8;TOP2A;ERBB3;RAD9A",0.142219538053011
"GLI1",19,8,3.73726784098771,0.00773300281389805,"SOX9;SMAD4;BCL2;JUN;AKT1;EGR2;CDK2;SFRP1",0.149384777353373
"APC",12,6,5.04384896467722,0.00783705403072249,"KLF4;BIRC5;AKT1;SGK1;PTGS2;DNMT1",0.149384777353373
"TWIST1",35,12,2.70033926833759,0.00838163529074944,"BCL2;FN1;CDH1;FOS;ESR1;F2R;MYB;MAPK1;CDH2;AKR1C2;DNM3;ERBB3",0.149384777353373
"E2F4",23,9,3.31605669557859,0.00839686497943544,"CCNB1;BIRC5;PLK1;TTK;BRCA1;CDK2;LTBP4;PLK4;PEG10",0.149384777353373
"DNMT3A",9,5,6.15566356149588,0.00888718409282292,"JUP;IGFBP3;SFRP5;SFRP1;SETDB1",0.149384777353373
"PPARG",66,19,2.09600794438927,0.0090419812279454,"BCL2;EGFR;JAG1;KLF4;TP53;CSF1;CAT;NOTCH4;HMOX1;GK;AGER;VLDLR;NR1H3;PTEN;DBI;PTGS2;APOB;TG;POU2F1",0.149384777353373
"WT1",57,17,2.20267618473709,0.00911279687558704,"IGF1;BCL2;EGFR;SNAI2;CDH1;JUN;THBS1;PDGFA;HBEGF;MYB;AMH;JUNB;CTCF;DNMT3A;NDRG2;IGF2;STIM1",0.149384777353373
"CREB1",90,24,1.88716057660074,0.0100301064970399,"SOX9;BCL2;SNAI2;GSK3A;SMAD6;NDC80;IL10;JUN;PSEN1;NR4A3;ACACA;ERBB2;FOS;PTGES;HMOX1;XPC;HPGD;CYP11A1;PPM1D;STMN1;PTGS2;PPP2CA;GSK3B;CRTC1",0.158752375246252
"AR",93,24,1.80300600284104,0.015191416719077,"FN1;EGFR;CDH1;JUN;CDC6;AKT1;TCF7L2;ERBB2;CDK6;SRD5A3;IGFBP3;HMOX1;ALDH1A3;BTG2;CDH2;TJP1;CYP7B1;RELA;PTEN;PTGS2;TSC2;ERBB3;STIM1;VIM",0.212374419236672
"SNAI1",10,5,5.03402187120292,0.0153701664208537,"FN1;CDH1;THBS1;HBEGF;CDH2",0.212374419236672
"TFAP2C",10,5,5.03402187120292,0.0153701664208537,"CRABP2;ERBB2;ESR1;GPX1;ECM1",0.212374419236672
"ZNF382",10,5,5.03402187120292,0.0153701664208537,"JUN;HMGA2;CDK6;ID1;STAT3",0.212374419236672
"CEBPA",51,15,2.15819103021205,0.0159037297281597,"IGF1;BCL2;FN1;GAPDH;MAD1L1;IL10;INSR;CSF1;STAR;ID1;STAT3;SOCS3;VLDLR;HSPA4;IGF2",0.212374419236672
"ZNF350",4,3,11.7118097541314,0.0161943233010723,"HMGA2;TRIM28;RBBP8",0.212374419236672
"E2F6",7,4,6.46285714285714,0.0175821959280905,"BRCA1;BRD7;E2F1;CYC1",0.212374419236672
"HSF2",7,4,6.46285714285714,0.0175821959280905,"FOS;TNFSF11;TXN;HSPA4",0.212374419236672
"NCOR1",7,4,6.46285714285714,0.0175821959280905,"IGF1;SNAI2;ESR1;IGFBP3",0.212374419236672
"TFAP2A",71,19,1.89171608265948,0.0201079999540272,"BCL2;EGFR;CCNB1;CDH1;CRABP2;IGFBP5;ERBB2;IMPDH2;SOD2;HMOX1;F2R;NR3C1;NME3;CYP11A1;PTEN;HSD17B1;CRYAB;PTGS2;ECM1",0.234108002596406
"FOXO3",18,7,3.28953655040612,0.0204015688537173,"MYOCD;BIRC5;SIRT1;PIK3CA;GALT;CCND2;FOXM1",0.234108002596406
"ATF4",35,11,2.3758776013488,0.0226043674579949,"NDC80;SIRT1;APOE;DDIT3;IGFBP1;SIGMAR1;CEBPB;ATF3;DDR2;PTGS2;HSPA5",0.245487285528062
"STAT3",142,33,1.56956772814679,0.0239694892274416,"BCL2;EGFR;BIRC5;CDH1;NME1;UCP2;IL10;MMP14;TP53;PRDM1;AKT1;DDIT3;PIM1;FOS;HMOX1;F2R;SOCS3;PTPN13;ABCA1;MDC1;CCND2;JUNB;ZFP36;ESR2;HSPA4;LTBP1;PTEN;PTGS2;DNMT1;POU2F1;AKAP12;FAAH;CISH",0.245487285528062
"DNMT1",31,10,2.46949283446323,0.024335146669426,"BIRC5;CDH1;TP53;RB1;ESR1;SFRP5;SFRP1;PROM1;BMP2;EPCAM",0.245487285528062
"MECP2",11,5,4.25750070100009,0.0243859174290136,"CDKL5;DLX5;ESR1;IGFBP3;ALOX5",0.245487285528062
"SP4",11,5,4.25750070100009,0.0243859174290136,"BIRC5;ERBB2;KDR;RELA;ASS1",0.245487285528062
