Gene,Pathway_Count,Mean_NES,Strongest_NES
WNT5A,132,1.6132464443716634,2.0148161587647
NRP1,96,1.6221832033259156,1.95493612173228
BMPR2,90,1.6222509111953753,2.0148161587647
TGFB2,83,1.6289497703434415,2.0148161587647
SRF,73,1.5910880356416455,1.95493612173228
IGF1,72,1.5850370236318456,1.84704856607512
HES1,71,1.6088690489070538,2.0148161587647
SOX9,69,1.5993762282004886,1.90555962941978
PRICKLE1,69,1.6060224690912015,1.89153060261138
SMO,65,1.6182693734052727,1.95493612173228
FGFR1,64,1.5760791557815095,1.76223627997697
FGFR2,63,1.6053504196772466,1.95493612173228
SEMA5A,62,1.60923699505045,1.91413282585377
SMAD4,54,1.6282764359482926,1.95493612173228
PAK1,54,1.5684876195163784,1.91413282585377
BCL2,53,1.5421448656206806,1.80135950990491
LIPA,48,-1.9974752386473151,2.42123244465721
VANGL2,48,1.6508197543925995,2.0148161587647
FN1,48,1.601045997137115,1.91413282585377
MDK,47,1.5695445445661693,1.75587428465578
TBX3,46,1.622598184508167,2.0148161587647
PRKAA1,44,-1.9403789784342018,2.70059634875783
SEMA7A,44,1.6062159682410801,1.91413282585377
EXT1,44,1.5826450341096256,1.90988691437547
PGK1,43,-2.023446806404408,2.44076113924839
EGFR,43,1.554085391661445,1.84704856607512
LRP5,42,1.5677635248409865,1.76223627997697
JAG1,41,1.654123018444556,2.0148161587647
NRP2,41,1.682584577531393,1.95493612173228
RYK,41,1.5888865246547337,1.90988691437547
MYOCD,40,1.6387499278254944,2.0148161587647
HAND2,39,1.6314614113069656,2.0148161587647
GJA5,38,1.6459896550596014,2.0148161587647
PTK7,38,1.6299706348338991,2.0148161587647
CDC20,38,1.573840231279359,1.84034009692533
CDK1,38,1.566619843858682,1.84034009692533
MAD2L2,38,1.5852253315467897,1.84034009692533
PTPRS,38,1.5836930528136939,1.74404340020384
ENO1,37,-2.088244227478417,2.44076113924839
CCNB1,37,1.5742328240350836,1.84704856607512
SMAD1,37,1.5632899282212112,1.71800106759615
SNAI2,36,1.6238210758683735,1.90555962941978
ALDOA,35,-2.10787111707683,2.44076113924839
SOX4,35,1.6955498034426868,2.0148161587647
CDKL5,35,1.6007803112589563,1.91413282585377
PDGFB,35,1.5820784214957837,1.84704856607512
KLF4,35,1.516064045754178,1.74404340020384
TPI1,34,-2.045270988025427,2.44076113924839
BIRC5,34,1.5768202475774515,1.84034009692533
INCENP,34,1.5758245297443112,1.84034009692533
PLK1,34,1.5719187799294143,1.84034009692533
FLNA,34,1.5534513925277995,1.72991752580885
MLXIPL,33,-1.9749985836461663,2.378691247977
GSK3A,33,1.613337573660464,2.0148161587647
SMAD6,33,1.6609700897979216,2.0148161587647
CHD7,33,1.5810443629649618,1.95493612173228
CDH4,33,1.6099645753382212,1.91413282585377
LIMK1,33,1.5748542261314797,1.91413282585377
FBXO5,33,1.5605667479520782,1.84034009692533
SKA3,33,1.5749493313108915,1.84034009692533
TTK,33,1.5794375724150544,1.84034009692533
BCL11A,33,1.5741444759172445,1.74404340020384
HK2,32,-2.040959260450469,2.44076113924839
NDUFAB1,32,-2.0128017897837185,2.42123244465721
PARK7,32,-1.8528153214838634,2.34927142867772
APLNR,32,1.646612423618042,2.0148161587647
SEMA3C,32,1.7087725312318076,2.0148161587647
SEMA6C,32,1.6128088559505969,1.90988691437547
CDH1,32,1.5830139269804735,1.88518252827797
NDC80,32,1.5647684982696526,1.84034009692533
CDKN1C,32,1.5127206708382848,1.83625629417504
GAPDH,31,-2.0343849532000755,2.44076113924839
ZFPM2,31,1.663532030697776,2.0148161587647
PTCH1,31,1.5625124795060004,1.90988691437547
SEMA3A,31,1.6307536032187198,1.90988691437547
ALDH1A2,31,1.5794302475899857,1.90555962941978
NME1,30,-1.9602212422011327,2.42123244465721
GATA6,30,1.62184423216546,1.95493612173228
GDI1,30,1.5872174192547703,1.91413282585377
MAD1L1,30,1.5758017730402294,1.84034009692533
MAG,30,1.575603824416119,1.78146416069895
NTRK2,30,1.5583943713202426,1.74404340020384
UCP2,29,-1.9370316696319907,2.378691247977
HEYL,29,1.6835030358326148,2.0148161587647
NRG1,29,1.6731430467707513,2.0148161587647
CENPF,29,1.570611207156978,1.84034009692533
TGFB3,29,1.5932282607459551,1.83625629417504
STAU2,29,1.58156654094223,1.80068983496047
IL10,29,1.5520843499655859,1.75587428465578
MMP14,29,1.5404173651858155,1.75587428465578
RARG,29,1.514120470200178,1.6928118403035
ENO2,28,-2.084817858460924,2.44076113924839
PGAM1,28,-2.084817858460924,2.44076113924839
MTCH2,28,-2.010486876071074,2.37829324887674
KCNJ8,28,1.6011018964722081,1.95493612173228
FZD3,28,1.5892231067539142,1.90988691437547
DCHS1,28,1.6065563678625794,1.88518252827797
CITED1,28,1.58974005480422,1.86283688289286
DUSP1,28,1.5488484298827574,1.84034009692533
NUMA1,28,1.62060757856177,1.84034009692533
PFKP,27,-2.088982143513633,2.44076113924839
DLD,27,-1.9781621444714075,2.42123244465721
PRKAG2,27,-1.9829027741505176,2.42123244465721
LDHA,27,-2.0320795824643327,2.378691247977
NR1H4,27,-1.759242342683354,2.26421603341546
SAV1,27,1.6557743669176685,2.0148161587647
SIRT1,27,1.5631179571554286,1.84034009692533
CRABP2,27,1.5626348477206407,1.74404340020384
TP53,27,1.5195049686987745,1.73393485669993
DAB2IP,27,1.545508594262934,1.71327800207742
ACLY,26,-1.971965211988998,2.42123244465721
ACOT7,26,-1.8880733355741524,2.42123244465721
APOE,26,-1.774026513900197,2.40177394601922
JUN,26,1.6154657994188109,1.84704856607512
BUB1,26,1.5739410846349107,1.84034009692533
ZWINT,26,1.5703729774642634,1.84034009692533
ACVR2B,26,1.5753125180633254,1.83625629417504
DDR1,26,1.5655146406167384,1.75587428465578
ACSL1,25,-1.8861525080412447,2.42123244465721
ACSL3,25,-1.8844491949781268,2.42123244465721
HSD17B12,25,-1.9358517929102732,2.42123244465721
GRHL2,25,1.5868832822138568,2.0148161587647
ULK2,25,1.5733868179437993,1.90988691437547
EDNRB,25,1.62066579773601,1.90555962941978
FZD5,25,1.5569164776440945,1.89153060261138
LCMT1,25,1.5738097194314495,1.84034009692533
ASPM,25,1.5540637098842172,1.7740953050884
KIF14,25,1.517816979758954,1.72991752580885
ITGA3,25,1.56289989929445,1.71800106759615
ELOVL5,24,-1.9132697248515247,2.42123244465721
NDUFA6,24,-2.1134058471799206,2.42123244465721
NDUFC2,24,-2.1134058471799206,2.42123244465721
NDUFS3,24,-2.1134058471799206,2.42123244465721
NDUFS5,24,-2.1134058471799206,2.42123244465721
NDUFS8,24,-2.1134058471799206,2.42123244465721
GPI,24,-2.0386239363918737,2.378691247977
ZFYVE27,24,1.6013015486732658,1.91413282585377
SEMA4C,24,1.637699219894093,1.90988691437547
ARID2,24,1.5867986818245492,1.84034009692533
BUB1B,24,1.5741775050940507,1.84034009692533
ESPL1,24,1.5587724518482546,1.84034009692533
SMARCA2,24,1.5455796780769695,1.84034009692533
USP44,24,1.5741775050940507,1.84034009692533
COL6A1,24,1.5267672846416238,1.79884608150781
CTNNBIP1,24,1.5828220689128183,1.76223627997697
DLG5,24,1.5864577096389378,1.75587428465578
SKIL,24,1.5563117782923084,1.74404340020384
NPPA,24,1.5763179320081837,1.6928118403035
ACSL4,23,-1.9334882707501027,2.42123244465721
NDUFA9,23,-2.1240029645525724,2.42123244465721
ALDOC,23,-2.0497163689106483,2.378691247977
PFKFB3,23,-2.0497163689106483,2.378691247977
PFKFB4,23,-2.0497163689106483,2.378691247977
PSEN1,23,-1.9314369581414381,2.37829324887674
APOC1,23,-1.7646502586459822,2.11697714379173
PRDM1,23,1.6392691335441552,2.0148161587647
DLX5,23,1.5622495802575251,1.90988691437547
FOXG1,23,1.5496734052590875,1.90988691437547
NR4A3,23,1.562451328329561,1.90988691437547
CDC6,23,1.5684977543319392,1.84704856607512
DLGAP5,23,1.5657856176026865,1.84034009692533
AXIN1,23,1.564994348615073,1.83625629417504
THBS1,23,1.5508847392301466,1.83625629417504
KCNQ1,23,1.575647017638913,1.80135950990491
AXIN2,23,1.5648987370550618,1.75522565274067
IGFBP5,23,1.5608702160056422,1.73598682560546
BRCA1,23,1.5171014370392177,1.73393485669993
CLASP1,23,1.5095978437775044,1.72991752580885
FOXP1,23,1.5430795954651382,1.67559213425558
ACACA,22,-1.9495460314292163,2.42123244465721
ELOVL6,22,-1.95020042127337,2.42123244465721
MLYCD,22,-1.8351024239437133,2.42123244465721
HKDC1,22,-2.0532315601321423,2.378691247977
MFSD8,22,-2.065032419174389,2.378691247977
SLC2A6,22,-2.04899409378346,2.378691247977
SLC4A4,22,-2.04899409378346,2.378691247977
SCN5A,22,1.609284322027914,2.0148161587647
TTC8,22,1.5459209430035472,1.90988691437547
DACT1,22,1.568974435899015,1.89153060261138
DVL2,22,1.5834947733913805,1.89153060261138
NPNT,22,1.5712956118085142,1.83625629417504
NDRG4,22,1.5187706782280481,1.75522565274067
AKT1,22,1.5254685034368736,1.74421674271642
BRSK1,22,1.5278573259369241,1.74404340020384
ULK1,22,1.5582750837494554,1.74404340020384
CHMP4C,22,1.5186406103307122,1.73393485669993
ACSS2,21,-1.9476642628224663,2.42123244465721
AK4,21,-2.1194275152709654,2.42123244465721
DLAT,21,-1.9556748330050653,2.42123244465721
FASN,21,-1.9697397839224187,2.42123244465721
NDUFA1,21,-2.152988279187195,2.42123244465721
NDUFA8,21,-2.152988279187195,2.42123244465721
NDUFB2,21,-2.152988279187195,2.42123244465721
NDUFB3,21,-2.152988279187195,2.42123244465721
NDUFB9,21,-2.152988279187195,2.42123244465721
NDUFV2,21,-2.152988279187195,2.42123244465721
PDK1,21,-1.9330026099892352,2.42123244465721
PDK3,21,-1.9330026099892352,2.42123244465721
PNP,21,-2.0129470731870907,2.42123244465721
TECR,21,-1.9642587579291375,2.42123244465721
TPK1,21,-1.9860183740775652,2.42123244465721
PGAM4,21,-2.081837010111568,2.378691247977
UCHL1,21,-2.081837010111568,2.378691247977
IDH1,21,-1.8032712951111929,2.26421603341546
DSP,21,1.6463309696227968,2.0148161587647
PAX8,21,1.6249163662643282,2.0148161587647
SUFU,21,1.6192800952036643,2.0148161587647
EGR2,21,1.594786937281701,1.90988691437547
FYN,21,1.5937300183139553,1.90988691437547
NDP,21,1.5862170029763958,1.90988691437547
SEMA4A,21,1.6675215634889475,1.90988691437547
FZD4,21,1.562471884712627,1.89153060261138
FERMT2,21,1.552672184279028,1.86283688289286
PDGFA,21,1.5935240846833947,1.84704856607512
JUP,21,1.5644113230759287,1.7636892070389
PLXNB1,21,1.5400756262388315,1.74404340020384
TTL,21,1.5680807809545718,1.74404340020384
CHEK1,21,1.5126024436786547,1.73393485669993
MTHFD1,20,-1.8490789897488695,2.42123244465721
NDUFA12,20,-2.1541356944881995,2.42123244465721
FBP1,20,-2.018608769065706,2.37829324887674
COL11A1,20,1.6157084136009556,2.0148161587647
CDH3,20,1.612164025235513,1.88518252827797
PKD1,20,1.5342287279127729,1.88518252827797
RIMS1,20,1.629144679060342,1.86090112988348
RIMS2,20,1.629144679060342,1.86090112988348
UBE2C,20,1.573868280804162,1.84034009692533
INSR,20,1.58033178132482,1.80135950990491
ZBTB16,20,1.5410967764523116,1.7740953050884
TCF7L2,20,1.6028160856416955,1.77084630897062
SPINT1,20,1.524283429695678,1.75587428465578
WNT4,20,1.5617532779297205,1.75587428465578
PTPRD,20,1.5872363248030494,1.74167257677338
NEK2,20,1.5149876732538974,1.72991752580885
HMGCR,19,-2.0472186400278995,2.42365250697278
HMGCS1,19,-2.0472186400278995,2.42365250697278
MVD,19,-2.0472186400278995,2.42365250697278
MVK,19,-2.0472186400278995,2.42365250697278
SDHD,19,-2.1801682243883858,2.42123244465721
STOML2,19,-2.1120120982940818,2.42123244465721
FITM2,19,-1.8099353472285311,2.26421603341546
ERBB2,19,1.5847419639717684,1.90988691437547
GDF7,19,1.611368095119463,1.90988691437547
DAAM2,19,1.5826257671336337,1.89153060261138
MED12,19,1.5591426208932595,1.89153060261138
NKD1,19,1.6120979819866195,1.89153060261138
HMGA2,19,1.5904763937799404,1.86283688289286
DLG4,19,1.6001293540870962,1.86090112988348
MAPRE3,19,1.558883919509602,1.79200868483243
DDIT3,19,1.6163707009403974,1.75960977026731
SMPD3,19,1.5649411525109116,1.73585720433737
DBN1,19,1.5567035050191054,1.68345701223339
AMPD3,18,-2.0178717068414853,2.42123244465721
PPT1,18,-2.0029790082282593,2.42123244465721
SLC25A13,18,-2.051179440308021,2.42123244465721
APOA1,18,-1.8741907183680362,2.40177394601922
DHTKD1,18,-2.052626450484008,2.37829324887674
HSD17B4,18,-1.7862637120425477,2.16340511857394
SCARB1,18,-1.7771715807989972,2.11697714379173
GREB1L,18,1.6655374639480485,2.0148161587647
ANK2,18,1.6488120463970666,1.95493612173228
DAG1,18,1.6270447134364134,1.90988691437547
SFRP4,18,1.5920569188047606,1.89153060261138
HNRNPU,18,1.6258441946060873,1.86283688289286
PIM1,18,1.6033436572857382,1.86283688289286
PRKCZ,18,1.5826851874184389,1.86090112988348
AQP1,18,1.5409873640528384,1.84704856607512
BRD7,18,1.5637165729882332,1.84034009692533
TGFB1I1,18,1.554805597970685,1.83625629417504
GRID2,18,1.6081432360465855,1.80068983496047
TGM2,18,1.5540557153475716,1.79200868483243
S100B,18,1.5987425335845078,1.78146416069895
WT1,18,1.570612385167746,1.75587428465578
EGR1,18,1.6066598018027634,1.71800106759615
PIK3CA,18,1.5225213439542407,1.67119554137631
NDUFB10,17,-2.1588796639808634,2.42123244465721
NDUFB8,17,-2.1588796639808634,2.42123244465721
NUDT2,17,-2.0606693319179072,2.42123244465721
PCCA,17,-1.887306624782443,2.42123244465721
INSIG2,17,-1.8045815420970424,2.40177394601922
SCP2,17,-1.7794402368107558,2.26421603341546
NPY2R,17,1.7106321811750853,2.0148161587647
CNTN2,17,1.5902277342014548,1.90988691437547
FGF12,17,1.6215938516943083,1.90555962941978
PHACTR4,17,1.5977676897598618,1.90555962941978
BCL7A,17,1.5525298541783452,1.84034009692533
CENPE,17,1.5376421773015234,1.84034009692533
RCC2,17,1.5369415876511487,1.84034009692533
TPR,17,1.5961347403812176,1.84034009692533
HOPX,17,1.5624624522815995,1.73585720433737
FOXO4,17,1.4987951738794636,1.73393485669993
VGLL4,17,1.5766093994821075,1.6928118403035
DGUOK,16,-2.115951684995427,2.42123244465721
MAP2K1,16,-2.0584776875639212,2.42123244465721
MCEE,16,-1.917773526413343,2.42123244465721
PMVK,16,-2.0339631785422547,2.40177394601922
FABP5,16,-1.6555187208628537,2.26421603341546
GOT1,16,-1.7071616897113868,2.19832069256979
NOTCH3,16,1.6308342471138682,1.90988691437547
CHRNA7,16,1.5807983829709744,1.86090112988348
TMEM108,16,1.592299868574688,1.86090112988348
CDK6,16,1.5148577223347912,1.84704856607512
