Gene,Pathway_Count
WNT5A,132
NRP1,96
BMPR2,90
TGFB2,83
SRF,73
IGF1,72
HES1,71
PRICKLE1,69
SOX9,69
SMO,65
FGFR1,64
FGFR2,63
SEMA5A,62
PAK1,54
SMAD4,54
BCL2,53
FN1,48
LIPA,48
VANGL2,48
MDK,47
TBX3,46
EXT1,44
PRKAA1,44
SEMA7A,44
EGFR,43
PGK1,43
LRP5,42
JAG1,41
NRP2,41
RYK,41
MYOCD,40
HAND2,39
CDC20,38
CDK1,38
GJA5,38
MAD2L2,38
PTK7,38
PTPRS,38
CCNB1,37
ENO1,37
SMAD1,37
SNAI2,36
ALDOA,35
CDKL5,35
KLF4,35
PDGFB,35
SOX4,35
BIRC5,34
FLNA,34
INCENP,34
PLK1,34
TPI1,34
BCL11A,33
CDH4,33
CHD7,33
FBXO5,33
GSK3A,33
LIMK1,33
MLXIPL,33
SKA3,33
SMAD6,33
TTK,33
APLNR,32
CDH1,32
CDKN1C,32
HK2,32
NDC80,32
NDUFAB1,32
PARK7,32
SEMA3C,32
SEMA6C,32
ALDH1A2,31
GAPDH,31
PTCH1,31
SEMA3A,31
ZFPM2,31
GATA6,30
GDI1,30
MAD1L1,30
MAG,30
NME1,30
NTRK2,30
CENPF,29
HEYL,29
IL10,29
MMP14,29
NRG1,29
RARG,29
STAU2,29
TGFB3,29
UCP2,29
CITED1,28
DCHS1,28
DUSP1,28
ENO2,28
FZD3,28
KCNJ8,28
MTCH2,28
NUMA1,28
PGAM1,28
CRABP2,27
DAB2IP,27
DLD,27
LDHA,27
NR1H4,27
PFKP,27
PRKAG2,27
SAV1,27
SIRT1,27
TP53,27
ACLY,26
ACOT7,26
ACVR2B,26
APOE,26
BUB1,26
DDR1,26
JUN,26
ZWINT,26
ACSL1,25
ACSL3,25
ASPM,25
EDNRB,25
FZD5,25
GRHL2,25
HSD17B12,25
ITGA3,25
KIF14,25
LCMT1,25
ULK2,25
ARID2,24
BUB1B,24
COL6A1,24
CTNNBIP1,24
DLG5,24
ELOVL5,24
ESPL1,24
GPI,24
NDUFA6,24
NDUFC2,24
NDUFS3,24
NDUFS5,24
NDUFS8,24
NPPA,24
SEMA4C,24
SKIL,24
SMARCA2,24
USP44,24
ZFYVE27,24
ACSL4,23
ALDOC,23
APOC1,23
AXIN1,23
AXIN2,23
BRCA1,23
CDC6,23
CLASP1,23
DLGAP5,23
DLX5,23
FOXG1,23
FOXP1,23
IGFBP5,23
KCNQ1,23
NDUFA9,23
NR4A3,23
PFKFB3,23
PFKFB4,23
PRDM1,23
PSEN1,23
THBS1,23
ACACA,22
AKT1,22
BRSK1,22
CHMP4C,22
DACT1,22
DVL2,22
ELOVL6,22
HKDC1,22
MFSD8,22
MLYCD,22
NDRG4,22
NPNT,22
SCN5A,22
SLC2A6,22
SLC4A4,22
TTC8,22
ULK1,22
ACSS2,21
AK4,21
CHEK1,21
DLAT,21
DSP,21
EGR2,21
FASN,21
FERMT2,21
FYN,21
FZD4,21
IDH1,21
JUP,21
NDP,21
NDUFA1,21
NDUFA8,21
NDUFB2,21
NDUFB3,21
NDUFB9,21
NDUFV2,21
PAX8,21
PDGFA,21
PDK1,21
PDK3,21
PGAM4,21
PLXNB1,21
PNP,21
SEMA4A,21
SUFU,21
TECR,21
TPK1,21
TTL,21
UCHL1,21
CDH3,20
COL11A1,20
FBP1,20
INSR,20
MTHFD1,20
NDUFA12,20
NEK2,20
PKD1,20
PTPRD,20
RIMS1,20
RIMS2,20
SPINT1,20
TCF7L2,20
UBE2C,20
WNT4,20
ZBTB16,20
DAAM2,19
DBN1,19
DDIT3,19
DLG4,19
ERBB2,19
FITM2,19
GDF7,19
HMGA2,19
HMGCR,19
HMGCS1,19
MAPRE3,19
MED12,19
MVD,19
MVK,19
NKD1,19
SDHD,19
SMPD3,19
STOML2,19
AMPD3,18
ANK2,18
APOA1,18
AQP1,18
BRD7,18
DAG1,18
DHTKD1,18
EGR1,18
GREB1L,18
GRID2,18
HNRNPU,18
HSD17B4,18
PIK3CA,18
PIM1,18
PPT1,18
PRKCZ,18
S100B,18
SCARB1,18
SFRP4,18
SLC25A13,18
TGFB1I1,18
TGM2,18
WT1,18
BCL7A,17
CENPE,17
CNTN2,17
FGF12,17
FOXO4,17
HOPX,17
INSIG2,17
NDUFB10,17
NDUFB8,17
NPY2R,17
NUDT2,17
PCCA,17
PHACTR4,17
RCC2,17
SCP2,17
TPR,17
VGLL4,17
ACTG1,16
ADAMTS12,16
CDK6,16
CHRNA7,16
CSF1,16
DGUOK,16
DYNLRB1,16
E2F7,16
FABP5,16
FGF18,16
FOS,16
FZR1,16
GOT1,16
MAP2K1,16
MCEE,16
NOTCH3,16
PMVK,16
PRKD2,16
RB1,16
TMEM108,16
AGT,15
ALDH8A1,15
ANAPC2,15
BRCA2,15
CAMK2D,15
CAT,15
CDK2,15
DGAT2,15
DIP2B,15
ESR1,15
FOSL2,15
FSHR,15
IK,15
IMPDH2,15
LDB1,15
NCAPH2,15
NLGN4X,15
NUDT5,15
OFD1,15
ROBO3,15
SLC12A5,15
SOD2,15
SRD5A3,15
SYNGAP1,15
TNNI3,15
TRIM28,15
TULP3,15
VCL,15
ZFP36L2,15
AK2,14
ANG,14
ANGPTL3,14
ARID1A,14
ARID1B,14
ATIC,14
CENPA,14
COLQ,14
EHMT2,14
FDPS,14
GOT2,14
GPAM,14
HBEGF,14
HSD17B10,14
IDI1,14
INSIG1,14
KANK1,14
KANK2,14
KDM1A,14
LPCAT3,14
LPGAT1,14
LPIN1,14
LTBP3,14
