"Regulator","Gene"
"TP53","BCL2"
"TP53","EGFR"
"TP53","CDK1"
"TP53","CCNB1"
"TP53","BIRC5"
"TP53","PLK1"
"TP53","NME1"
"TP53","MAD1L1"
"TP53","DUSP1"
"TP53","TP53"
"TP53","THBS1"
"TP53","BRCA1"
"TP53","AKT1"
"TP53","CHEK1"
"TP53","TCF7L2"
"TP53","S100B"
"TP53","EGR1"
"TP53","RB1"
"TP53","E2F7"
"TP53","ESR1"
"TP53","CDK2"
"TP53","BRCA2"
"TP53","GSTP1"
"TP53","PLK3"
"TP53","ID1"
"TP53","E2F1"
"TP53","IGFBP3"
"TP53","ING1"
"TP53","GPNMB"
"TP53","IER3"
"TP53","PRC1"
"TP53","RAD51B"
"TP53","STAT3"
"TP53","CCNA2"
"TP53","BTG2"
"TP53","XPC"
"TP53","PTPN13"
"TP53","ATF3"
"TP53","ALOX5"
"TP53","MKI67"
"TP53","RELA"
"TP53","PTTG1"
"TP53","PTEN"
"TP53","CRYAB"
"TP53","HSP90AB1"
"TP53","CASP3"
"TP53","FOXM1"
"TP53","DNMT1"
"TP53","KLF2"
"TP53","VCAN"
"TP53","SLC2A1"
"HIF1A","PGK1"
"HIF1A","ENO1"
"HIF1A","ALDOA"
"HIF1A","CDH1"
"HIF1A","GAPDH"
"HIF1A","TGFB3"
"HIF1A","LDHA"
"HIF1A","EDNRB"
"HIF1A","PFKFB3"
"HIF1A","PFKFB4"
"HIF1A","PIK3CA"
"HIF1A","HBEGF"
"HIF1A","ERCC2"
"HIF1A","ACE"
"HIF1A","PTGES"
"HIF1A","NR4A1"
"HIF1A","STAT3"
"HIF1A","RORA"
"HIF1A","XPC"
"HIF1A","NR3C1"
"HIF1A","MIF"
"HIF1A","WASF3"
"HIF1A","SDHB"
"HIF1A","BNIP3"
"HIF1A","ASS1"
"HIF1A","TUBB3"
"HIF1A","SLC29A1"
"HIF1A","VIM"
"HIF1A","SLC2A1"
"HDAC1","EGFR"
"HDAC1","SNAI2"
"HDAC1","KLF4"
"HDAC1","BIRC5"
"HDAC1","CDH1"
"HDAC1","TP53"
"HDAC1","HMGCS1"
"HDAC1","EGR1"
"HDAC1","FOS"
"HDAC1","ESR1"
"HDAC1","BRCA2"
"HDAC1","E2F1"
"HDAC1","IGFBP3"
"HDAC1","STAT3"
"HDAC1","SFRP1"
"HDAC1","RHOB"
"HDAC1","TJP1"
"HDAC1","CCND2"
"HDAC1","SMAD7"
"HDAC1","PTGS2"
"HDAC1","DNMT1"
"HDAC1","EIF2AK1"
"HDAC1","HSPA5"
"HDAC1","EPCAM"
